timestamp,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius,confidence
1936810468,2.36904,2.46018,26.7191,1.0
1937132610,2.32986,2.41907,26.62,1.0
1937143373,2.32506,2.41405,26.6128,1.0
1937154104,2.31536,2.40401,26.62,1.0
1937164878,2.30206,2.39064,26.7334,1.0
1937175569,2.28834,2.37646,26.7462,1.0
1937186406,2.27367,2.36109,26.7148,1.0
1937197213,2.25644,2.3432,26.7162,1.0
1937207902,2.23818,2.32427,26.7219,1.0
1937218600,2.22053,2.30596,26.7205,1.0
1937240037,2.18887,2.27308,26.7219,1.0
1937250752,2.17731,2.261,26.7019,1.0
1937261456,2.16622,2.24917,26.6185,1.0
1937272294,2.15374,2.23616,26.6028,1.0
1937573329,2.35271,2.44322,26.7191,1.0
1937584083,2.34418,2.43438,26.7234,1.0
1937594812,2.33074,2.42037,26.7105,1.0
1937605646,2.31504,2.40411,26.7219,1.0
1937616338,2.30261,2.39119,26.7191,1.0
1937627154,2.29673,2.38517,26.7405,1.0
1937637917,2.29644,2.38484,26.7334,1.0
1937648720,2.29948,2.38794,26.7205,1.0
1937659433,2.30493,2.39349,26.6948,1.0
1937670247,2.31271,2.40169,26.7219,1.0
1937691708,2.33338,2.42305,26.6977,1.0
1937702423,2.34511,2.43536,26.7234,1.0
1937713241,2.3593,2.45009,26.7191,1.0
1937724002,2.37461,2.46597,26.7162,1.0
1938035173,2.29841,2.38685,26.7248,1.0
1938045883,2.27137,2.35868,26.7034,1.0
1938056597,2.24339,2.32969,26.7191,1.0
1938067479,2.21617,2.30145,26.7219,1.0
1938078207,2.19035,2.27461,26.7162,1.0
1938088918,2.16505,2.24827,26.7005,1.0
1938099631,2.13984,2.22219,26.7248,1.0
1938110401,2.11494,2.19633,26.7234,1.0
1938121158,2.08944,2.16976,26.7048,1.0
1938131907,2.06348,2.14285,26.7148,1.0
1938185486,1.94502,2.01981,26.7134,1.0
1938196283,1.91706,1.9908,26.7191,1.0
1938207009,1.8926,1.96542,26.7248,1.0
1938217787,1.87602,1.94825,26.7405,1.0
1938508046,1.62447,1.68666,26.6142,1.0
1938518784,1.63894,1.70171,26.6242,1.0
1938529530,1.65616,1.71959,26.6257,1.0
1938540298,1.67815,1.74241,26.6214,1.0
1938551025,1.70257,1.76811,26.7362,1.0
1938561752,1.72741,1.79386,26.7177,1.0
1938572475,1.75175,1.81914,26.7219,1.0
1938583228,1.77608,1.84435,26.7019,1.0
1938593919,1.80056,1.86977,26.7019,1.0
1938604658,1.82324,1.89339,26.7248,1.0
1938647629,1.8773,1.94946,26.7019,1.0
1938658395,1.87795,1.95021,26.7219,1.0
1938669139,1.87411,1.94615,26.6991,1.0
1938679938,1.86814,1.94009,26.7405,1.0
1938959199,2.2485,2.33497,26.7205,1.0
1938969892,2.23743,2.32349,26.7277,1.0
1938980616,2.22678,2.31241,26.7177,1.0
1938991310,2.21758,2.30285,26.7148,1.0
1939002086,2.21231,2.29738,26.7148,1.0
