timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],voltage_cell_v[4],voltage_cell_v[5],voltage_cell_v[6],voltage_cell_v[7],voltage_cell_v[8],voltage_cell_v[9],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,state_of_health,max_error,connected,source,priority,id,is_powering_off,warning
1581310096,15.5505,15.6125,92.6759,92.6512,0.0,40689.4,0.543258,1.07606,nan,4,3.90312,3.90312,3.90312,3.90312,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1581320136,15.5505,15.6119,92.6759,92.6517,0.0,40689.7,0.543022,1.07611,nan,4,3.90296,3.90296,3.90296,3.90296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1581330099,15.5633,15.6114,92.6466,92.6516,0.0,40689.9,0.542837,1.07614,nan,4,3.90284,3.90284,3.90284,3.90284,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1581340100,15.742,15.6127,92.6173,92.6509,0.0,40690.2,0.543334,1.07605,nan,4,3.90317,3.90317,3.90317,3.90317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1581350103,15.7931,15.6145,92.6466,92.6508,0.0,40690.4,0.544022,1.07593,nan,4,3.90361,3.90361,3.90361,3.90361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1581360100,15.6143,15.6145,92.6173,92.6502,0.0,40690.7,0.544021,1.07593,nan,4,3.90361,3.90361,3.90361,3.90361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1581380101,15.4994,15.6132,92.6759,92.6517,0.0,40691.2,0.543534,1.07601,nan,4,3.9033,3.9033,3.9033,3.9033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1581390108,15.742,15.6145,92.6759,92.6522,0.0,40691.5,0.544025,1.07593,nan,4,3.90362,3.90362,3.90362,3.90362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1581400101,15.5633,15.614,92.6466,92.6521,0.0,40691.7,0.54383,1.07596,nan,4,3.90349,3.90349,3.90349,3.90349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
1581410134,15.7548,15.6154,92.6466,92.652,0.0,40692.0,0.544366,1.07586,nan,4,3.90384,3.90384,3.90384,3.90384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,1,0,0,1,0,0
