timestamp,indicated_airspeed_m_s,true_airspeed_m_s,air_temperature_celsius,confidence
1115089428,-2.75791,-2.85629,25.1544,1.0
1115100122,-2.75751,-2.85575,25.1287,1.0
1115110811,-2.75856,-2.85693,25.1501,1.0
1115121505,-2.75893,-2.85735,25.1573,1.0
1115132269,-2.75635,-2.85469,25.1587,1.0
1115143017,-2.75233,-2.85048,25.1501,1.0
1115153712,-2.74868,-2.84671,25.153,1.0
1115207471,-2.71845,-2.81542,25.1558,1.0
1115218193,-2.70408,-2.80045,25.1387,1.0
1115228932,-2.68804,-2.78394,25.1587,1.0
1115239676,-2.67127,-2.76655,25.1558,1.0
1115250489,-2.65416,-2.74873,25.133,1.0
1115529613,-2.20503,-2.28377,25.183,1.0
1115540339,-2.21872,-2.29788,25.163,1.0
1115551131,-2.23387,-2.31353,25.153,1.0
1115561952,-2.24933,-2.32945,25.1315,1.0
1115572726,-2.26685,-2.34759,25.1315,1.0
1115583442,-2.28769,-2.36925,25.1501,1.0
1115594188,-2.30891,-2.39118,25.1387,1.0
1115604917,-2.32859,-2.41161,25.1501,1.0
1115615646,-2.34606,-2.42974,25.1601,1.0
1115658487,-2.39619,-2.4817,25.1587,1.0
1115669201,-2.41488,-2.501,25.1458,1.0
1115679900,-2.4429,-2.52998,25.1344,1.0
1115690623,-2.47988,-2.56829,25.1387,1.0
1115980609,-3.00331,-3.11049,25.1701,1.0
1115991330,-2.99299,-3.09986,25.1787,1.0
1116002061,-2.97418,-3.08035,25.173,1.0
1116012764,-2.94936,-3.05456,25.1573,1.0
1116023494,-2.91907,-3.02319,25.153,1.0
1116034276,-2.8832,-2.98606,25.1573,1.0
1116044981,-2.84284,-2.94414,25.133,1.0
1116055692,-2.80212,-2.90198,25.1358,1.0
1116066454,-2.76754,-2.86625,25.153,1.0
1116109312,-2.68745,-2.78321,25.1372,1.0
1116120069,-2.67984,-2.77533,25.1372,1.0
1116130761,-2.67783,-2.77325,25.1372,1.0
1116141556,-2.68056,-2.77612,25.1487,1.0
1116431316,-2.57677,-2.66855,25.133,1.0
1116442015,-2.60017,-2.69291,25.1601,1.0
1116452815,-2.62267,-2.71628,25.1744,1.0
1116463583,-2.6439,-2.73826,25.173,1.0
1116474274,-2.66206,-2.7571,25.1787,1.0
1116485086,-2.6759,-2.77142,25.1758,1.0
1116495839,-2.68626,-2.78208,25.1615,1.0
